Date,Duration (hours),Category,Description of completed task,Challenges and/or next steps,Reflection
8/27/25,2.5,"Research, Training, Learning","Reviewed the course handouts and added due dates listed to my calendar app. Contacted CTP instrcutor to be my supervisor for the course. Currently doing research on data science, trying to find a usecase for our project.","Data Science project can be vague or common if theres no clear intention/purpose. I think I will try to focus on education. If CTP project doesn't work, I will turn to my plan B: website/software for special needs children. ",
9/2/25,15,"Research, Training, Learning","Attended CTP class (lecture, homework review, watch required informational videos), did CTP homework. Did independent reseacrh on machine learning. Started thinking about project/field to work on.","I may or may not switch course (instead of Friday class, be moved to Tuesday) so my superv might change.",
9/9/25,15.5,Coding,"Attended CTP class (lecture, homework review, watch required informational videos), switched my CTP course to a different day with a different instructor. I have a lot of work to catch up on from my class, hence a lot of coding. Learning more Pandas, and finalizing my project idea.","Clear project idea, gather people to be on my team.",
9/16/25,17,Team Discussion,"Attended CTP class (lecture, event, homework review, watch required informational videos). Most time spent on finalizing project ideas. Created a group with other students to dicuss their projects ideas. Spoke about the limitations we would face on our project, and highlighted where our projects will excel in. ",,
9/23/25,15,"Research, Training, Learning","Created a document with our project ideas, and discussed which drection we should go. Learn more about AI and completed ChatGPT Prompt Engineering for Developers Course",,
